Departamento,Solicitud
Administrativo,Duplicado de diploma de Medicina
Registro y control,Inscripción extemporánea a Cálculo I
Administrativo,Duplicado de diploma de Derecho
Administrativo,Certificación de horas en voluntariado
Administrativo,Certificado de notas 2019-1 para trabajo
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Administrativo,Certificación de horas en voluntariado
Apoyo financiero,Problema con el pago de matrícula (comprobante #22114)
Registro y control,Quiero cambiar de grupo la materia Química Orgánica
Registro y control,Inscripción extemporánea a Física II
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Problema con el pago de matrícula (comprobante #46355)
Administrativo,Certificación de horas en voluntariado
Administrativo,Certificado de notas 2021-2 para visado
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Homologar Cálculo I cursada en U externado
Registro y control,Quiero cambiar de grupo la materia Cálculo I
Registro y control,Aplazar semestre por situación familiar
Administrativo,Duplicado de diploma de Derecho
Administrativo,Duplicado de diploma de Medicina
Apoyo financiero,Problema con el pago de laboratorios (comprobante #72880)
Administrativo,Duplicado de diploma de Derecho
Administrativo,Duplicado de diploma de Ingeniería
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Inscripción extemporánea a Física II
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Administrativo,Certificación de horas en voluntariado
Registro y control,Aplazar semestre por situación familiar
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Administrativo,Duplicado de diploma de Ingeniería
Apoyo financiero,Problema con el pago de matrícula (comprobante #36455)
Administrativo,Duplicado de diploma de Medicina
Registro y control,Aplazar semestre por situación familiar
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Certificado de notas 2019-1 para visado
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Quiero cancelar la materia Cálculo I
Administrativo,Certificación de horas en semillero de investigación
Apoyo financiero,Solicitud de beca por excelencia académica
Administrativo,Certificación de horas en grupo de teatro
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Administrativo,Certificado de notas 2015-2 para visado
Registro y control,Quiero cancelar la materia Álgebra Lineal
Apoyo financiero,Problema con el pago de matrícula (comprobante #12161)
Administrativo,Certificación de horas en semillero de investigación
Apoyo financiero,Problema con el pago de matrícula (comprobante #12141)
Registro y control,Inscripción extemporánea a Programación
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Homologar Cálculo I cursada en U de los Andes
Registro y control,Aplazar semestre por situación familiar
Administrativo,Certificación de horas en voluntariado
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Inscripción extemporánea a Álgebra Lineal
Registro y control,Quiero cancelar la materia Física II
Administrativo,Certificación de horas en voluntariado
Administrativo,Duplicado de diploma de Medicina
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Duplicado de diploma de Derecho
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Duplicado de diploma de Derecho
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Administrativo,Duplicado de diploma de Medicina
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Aplazar semestre por situación familiar
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Homologar Programación cursada en U del Valle
Apoyo financiero,Solicitud de beca por dificultades económicas
Administrativo,Certificado de notas 2015-1 para trabajo
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Certificado de notas 2018-1 para trabajo
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Registro y control,Inscripción extemporánea a Programación
Registro y control,Inscripción extemporánea a Física II
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Administrativo,Certificación de horas en deporte universitario
Registro y control,Homologar Física II cursada en U del Valle
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Problema con el pago de laboratorios (comprobante #92560)
Administrativo,Duplicado de diploma de Derecho
Registro y control,Aplazar semestre por situación familiar
Administrativo,Certificado de notas 2021-2 para beca
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Solicitud de beca por excelencia académica
Registro y control,Quiero cambiar de grupo la materia Química Orgánica
Administrativo,Certificado de notas 2017-1 para visado
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Homologar Química Orgánica cursada en U del Valle
Apoyo financiero,Problema con el pago de matrícula (comprobante #32889)
Registro y control,Homologar Cálculo I cursada en U del Valle
Registro y control,Inscripción extemporánea a Programación
Administrativo,Certificación de horas en grupo de teatro
Apoyo financiero,Solicitud de beca por dificultades económicas
Administrativo,Certificado de notas 2021-1 para beca
Registro y control,Homologar Química Orgánica cursada en U del Valle
Administrativo,Duplicado de diploma de Ingeniería
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Quiero cambiar de grupo la materia Cálculo I
Administrativo,Certificación de horas en voluntariado
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Homologar Cálculo I cursada en U Nacional
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Solicitud de beca por dificultades económicas
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Duplicado de diploma de Derecho
Administrativo,Certificación de horas en grupo de teatro
Registro y control,Inscripción extemporánea a Química Orgánica
Registro y control,Inscripción extemporánea a Cálculo I
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Aplazar semestre por situación familiar
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Certificación de horas en voluntariado
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Duplicado de diploma de Ingeniería
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Registro y control,Inscripción extemporánea a Cálculo I
Administrativo,Certificado de notas 2021-1 para visado
Apoyo financiero,Solicitud de beca por dificultades económicas
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Homologar Programación cursada en U del Valle
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Solicitud de beca por deporte competitivo
Administrativo,Certificado de notas 2017-2 para beca
Administrativo,Certificación de horas en grupo de teatro
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Quiero cancelar la materia Álgebra Lineal
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Certificado de notas 2016-2 para beca
Registro y control,Homologar Álgebra Lineal cursada en U de los Andes
Registro y control,Inscripción extemporánea a Programación
Apoyo financiero,Problema con el pago de laboratorios (comprobante #59777)
Apoyo financiero,Problema con el pago de matrícula (comprobante #22813)
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Solicitud de beca por deporte competitivo
Registro y control,Quiero cancelar la materia Cálculo I
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Problema con el pago de laboratorios (comprobante #83563)
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Quiero cancelar la materia Física II
Registro y control,Aplazar semestre por situación familiar
Apoyo financiero,Problema con el pago de matrícula (comprobante #26547)
Registro y control,Homologar Cálculo I cursada en U del Valle
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Homologar Programación cursada en U del Valle
Registro y control,Homologar Cálculo I cursada en U Javeriana
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Aplazar semestre por problemas de salud
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Quiero cancelar la materia Programación
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Quiero cambiar de grupo la materia Química Orgánica
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Solicitud de beca por dificultades económicas
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Inscripción extemporánea a Álgebra Lineal
Administrativo,Duplicado de diploma de Ingeniería
Registro y control,Homologar Química Orgánica cursada en U de los Andes
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Quiero cancelar la materia Programación
Registro y control,Quiero cambiar de grupo la materia Química Orgánica
Registro y control,Aplazar semestre por situación familiar
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Certificación de horas en grupo de teatro
Apoyo financiero,Problema con el pago de matrícula (comprobante #92779)
Apoyo financiero,Solicitud de beca por excelencia académica
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Inscripción extemporánea a Cálculo I
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Registro y control,Quiero cancelar la materia Cálculo I
Registro y control,Homologar Física II cursada en U externado
Administrativo,Certificado de notas 2020-1 para trabajo
Registro y control,Homologar Álgebra Lineal cursada en U Javeriana
Apoyo financiero,Solicitud de beca por deporte competitivo
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Certificado de notas 2020-1 para trabajo
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Solicitud de beca por dificultades económicas
Administrativo,Duplicado de diploma de Medicina
Registro y control,Inscripción extemporánea a Ética
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Certificado de notas 2016-1 para beca
Registro y control,Homologar Cálculo I cursada en U externado
Registro y control,Homologar Química Orgánica cursada en U de los Andes
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Apoyo financiero,Problema con el pago de laboratorios (comprobante #78665)
Apoyo financiero,Problema con el pago de laboratorios (comprobante #48477)
Apoyo financiero,Problema con el pago de matrícula (comprobante #42760)
Apoyo financiero,Solicitud de beca por proyecto de investigación
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Problema con el pago de laboratorios (comprobante #17758)
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Certificado de notas 2016-2 para trabajo
Registro y control,Homologar Química Orgánica cursada en U Javeriana
Administrativo,Certificación de horas en voluntariado
Registro y control,Quiero cambiar de grupo la materia Álgebra Lineal
Registro y control,Aplazar semestre por situación familiar
Administrativo,Certificado de notas 2018-1 para beca
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Administrativo,Certificación de horas en voluntariado
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Aplazar semestre por situación familiar
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Solicitud de beca por excelencia académica
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Homologar Química Orgánica cursada en U de los Andes
Registro y control,Homologar Programación cursada en U externado
Registro y control,Quiero cancelar la materia Física II
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Homologar Química Orgánica cursada en U Javeriana
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Administrativo,Duplicado de diploma de Ingeniería
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Problema con el pago de matrícula (comprobante #31978)
Apoyo financiero,Problema con el pago de laboratorios (comprobante #46004)
Registro y control,Inscripción extemporánea a Química Orgánica
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Registro y control,Homologar Álgebra Lineal cursada en U externado
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Certificación de horas en voluntariado
Registro y control,Homologar Programación cursada en U Javeriana
Apoyo financiero,Problema con el pago de laboratorios (comprobante #33738)
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Quiero cambiar de grupo la materia Cálculo I
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Certificado de notas 2019-2 para trabajo
Apoyo financiero,Problema con el pago de laboratorios (comprobante #31799)
Registro y control,Aplazar semestre por problemas de salud
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Registro y control,Inscripción extemporánea a Química Orgánica
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Homologar Física II cursada en U Nacional
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Apoyo financiero,Problema con el pago de matrícula (comprobante #70304)
Registro y control,Quiero cambiar de grupo la materia Álgebra Lineal
Apoyo financiero,Problema con el pago de laboratorios (comprobante #64439)
Registro y control,Inscripción extemporánea a Programación
Registro y control,Quiero cancelar la materia Programación
Apoyo financiero,Problema con el pago de laboratorios (comprobante #13803)
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Inscripción extemporánea a Química Orgánica
Registro y control,Inscripción extemporánea a Física II
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Homologar Química Orgánica cursada en U del Valle
Apoyo financiero,Problema con el pago de matrícula (comprobante #57468)
Apoyo financiero,Solicitud de beca por dificultades económicas
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Inscripción extemporánea a Química Orgánica
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Homologar Física II cursada en U de los Andes
Administrativo,Certificación de horas en semillero de investigación
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Duplicado de diploma de Derecho
Registro y control,Inscripción extemporánea a Programación
Registro y control,Inscripción extemporánea a Ética
Administrativo,Certificado de notas 2016-2 para trabajo
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Homologar Programación cursada en U Javeriana
Administrativo,Certificado de notas 2019-2 para beca
Administrativo,Certificado de notas 2020-1 para beca
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Apoyo financiero,Solicitud de beca por excelencia académica
Registro y control,Homologar Álgebra Lineal cursada en U del Valle
Registro y control,Inscripción extemporánea a Ética
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Problema con el pago de laboratorios (comprobante #90470)
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Administrativo,Duplicado de diploma de Medicina
Registro y control,Quiero cambiar de grupo la materia Química Orgánica
Registro y control,Inscripción extemporánea a Programación
Apoyo financiero,Solicitud de beca por deporte competitivo
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Solicitud de beca por excelencia académica
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Apoyo financiero,Problema con el pago de laboratorios (comprobante #44276)
Administrativo,Certificación de horas en semillero de investigación
Registro y control,Inscripción extemporánea a Álgebra Lineal
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Homologar Álgebra Lineal cursada en U de los Andes
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Problema con el pago de matrícula (comprobante #20935)
Registro y control,Aplazar semestre por problemas de salud
Administrativo,Certificación de horas en voluntariado
Apoyo financiero,Solicitud de beca por dificultades económicas
Administrativo,Certificado de notas 2016-1 para beca
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Certificado de notas 2019-2 para trabajo
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Solicitud de beca por proyecto de investigación
Administrativo,Certificado de notas 2019-1 para beca
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Problema con el pago de laboratorios (comprobante #62855)
Administrativo,Duplicado de diploma de Ingeniería
Administrativo,Certificado de notas 2022-2 para visado
Administrativo,Duplicado de diploma de Ingeniería
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Administrativo,Certificación de horas en grupo de teatro
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Homologar Cálculo I cursada en U del Valle
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Problema con el pago de laboratorios (comprobante #10375)
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Certificado de notas 2020-1 para trabajo
Administrativo,Certificado de notas 2019-2 para visado
Registro y control,Inscripción extemporánea a Física II
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Problema con el pago de matrícula (comprobante #94058)
Registro y control,Homologar Ética cursada en U Nacional
Registro y control,Quiero cambiar de grupo la materia Cálculo I
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Registro y control,Homologar Física II cursada en U del Valle
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Homologar Programación cursada en U externado
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Quiero cancelar la materia Álgebra Lineal
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Certificado de notas 2018-2 para beca
Administrativo,Certificación de horas en deporte universitario
Registro y control,Quiero cambiar de grupo la materia Programación
Registro y control,Aplazar semestre por situación familiar
Apoyo financiero,Solicitud de beca por deporte competitivo
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Registro y control,Inscripción extemporánea a Física II
Registro y control,Inscripción extemporánea a Física II
Registro y control,Homologar Programación cursada en U Javeriana
Registro y control,Inscripción extemporánea a Física II
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Solicitud de beca por excelencia académica
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Administrativo,Duplicado de diploma de Derecho
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Problema con el pago de matrícula (comprobante #62571)
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Problema con el pago de matrícula (comprobante #44503)
Registro y control,Inscripción extemporánea a Cálculo I
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Problema con el pago de matrícula (comprobante #78131)
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Administrativo,Certificado de notas 2021-1 para beca
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Registro y control,Inscripción extemporánea a Programación
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Inscripción extemporánea a Química Orgánica
Registro y control,Homologar Álgebra Lineal cursada en U Nacional
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Apoyo financiero,Problema con el pago de matrícula (comprobante #53843)
Registro y control,Quiero cambiar de grupo la materia Álgebra Lineal
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Certificación de horas en semillero de investigación
Apoyo financiero,Problema con el pago de laboratorios (comprobante #20502)
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Solicitud de beca por proyecto de investigación
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Homologar Programación cursada en U externado
Registro y control,Homologar Ética cursada en U de los Andes
Registro y control,Quiero cambiar de grupo la materia Programación
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Certificación de horas en voluntariado
Apoyo financiero,Problema con el pago de matrícula (comprobante #64898)
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Homologar Ética cursada en U Nacional
Administrativo,Certificado de notas 2018-1 para beca
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Quiero cambiar de grupo la materia Programación
Administrativo,Duplicado de diploma de Medicina
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Duplicado de diploma de Derecho
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Inscripción extemporánea a Física II
Registro y control,Homologar Ética cursada en U Javeriana
Apoyo financiero,Solicitud de beca por dificultades económicas
Administrativo,Duplicado de diploma de Medicina
Registro y control,Homologar Química Orgánica cursada en U del Valle
Registro y control,Aplazar semestre por situación familiar
Administrativo,Duplicado de diploma de Derecho
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Aplazar semestre por situación familiar
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Problema con el pago de laboratorios (comprobante #84974)
Administrativo,Certificación de horas en deporte universitario
Registro y control,Quiero cambiar de grupo la materia Ética
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Problema con el pago de matrícula (comprobante #90740)
Administrativo,Certificación de horas en voluntariado
Registro y control,Inscripción extemporánea a Álgebra Lineal
Administrativo,Certificación de horas en deporte universitario
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Problema con el pago de matrícula (comprobante #78957)
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Certificación de horas en semillero de investigación
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Registro y control,Inscripción extemporánea a Programación
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Administrativo,Certificado de notas 2016-1 para visado
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Certificado de notas 2020-1 para visado
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Registro y control,Homologar Programación cursada en U de los Andes
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Certificado de notas 2021-1 para beca
Administrativo,Certificación de horas en semillero de investigación
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Solicitud de beca por excelencia académica
Administrativo,Certificación de horas en deporte universitario
Administrativo,Duplicado de diploma de Medicina
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Quiero cancelar la materia Ética
Registro y control,Homologar Física II cursada en U Nacional
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Homologar Cálculo I cursada en U del Valle
Apoyo financiero,Solicitud de beca por deporte competitivo
Apoyo financiero,Problema con el pago de laboratorios (comprobante #72180)
Apoyo financiero,Problema con el pago de matrícula (comprobante #30151)
Apoyo financiero,Solicitud de beca por excelencia académica
Administrativo,Certificación de horas en grupo de teatro
Administrativo,Certificado de notas 2020-2 para beca
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Homologar Física II cursada en U de los Andes
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Problema con el pago de matrícula (comprobante #64288)
Administrativo,Certificación de horas en grupo de teatro
Registro y control,Aplazar semestre por situación familiar
Administrativo,Certificación de horas en voluntariado
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Quiero cambiar de grupo la materia Ética
Registro y control,Quiero cancelar la materia Cálculo I
Administrativo,Certificación de horas en grupo de teatro
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Solicitud de beca por proyecto de investigación
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Inscripción extemporánea a Ética
Apoyo financiero,Problema con el pago de laboratorios (comprobante #32696)
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Problema con el pago de laboratorios (comprobante #17446)
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Quiero cancelar la materia Ética
Registro y control,Inscripción extemporánea a Química Orgánica
Registro y control,Aplazar semestre por situación familiar
Apoyo financiero,Solicitud de beca por proyecto de investigación
Registro y control,Inscripción extemporánea a Física II
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Problema con el pago de laboratorios (comprobante #35577)
Registro y control,Homologar Química Orgánica cursada en U externado
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
